,imdb,kills,title,year
151,tt0330373,3,Harry Potter & the Goblet of Fire,2005
152,tt0113277,18,Heat,1995
153,tt0167190,42,Hellboy,2004
154,tt0299977,152,Hero,2002
155,tt0399146,13,A History of Violence,2005
156,tt0163818,25,Hitman,1998
157,tt0465494,55,Hitman,2007
158,tt0113313,17,Hollow Point,1996
159,tt0340163,16,Hostage,2005
160,tt0425112,29,Hot Fuzz,2007
161,tt0107144,114,Hot Shots! Part Deux,1993
162,tt0317676,141,House of the Dead,2003
163,tt0185371,30,House on Haunted Hill,1999
164,tt0099810,7,The Hunt for Red October,1990
165,tt0480249,71,I Am Legend,2007
166,tt0780536,5,In Bruges,2008
167,tt0800080,41,The Incredible Hulk,2008
168,tt0372784,16,The Incredibles,2004
169,tt0367882,76,Indiana Jones & the Kingdom of the Crystal Skull,2008
170,tt0454848,13,Inside Man,2006
171,tt0963178,18,The International,2009
172,tt0089348,146,Invasion U.S.A.,1985
173,tt0371746,57,Iron Man,2008
174,tt0399201,12,The Island,2005
175,tt0816539,15,Jack Brooks: Monster Slayer,2007
176,tt0119395,11,The Jackal,1997
177,tt0119396,4,Jackie Brown,1997
178,tt0211443,27,Jason X,2001
179,tt0489099,7,Jumper,2008
180,tt0163025,6,Jurassic Park III,2001
181,tt0267626,10,K-19: The Widowmaker,2002
182,tt0065938,139,Kelly's Heroes,1970
183,tt0320661,610,Kingdom of Heaven,2005
184,tt0266697,95,Kill Bill: Vol. 1,2003
185,tt0378194,3,Kill Bill: Vol. 2,2004
186,tt0097202,149,The Killer,1989
187,tt0360717,23,King Kong,2005
188,tt0099939,38,King of New York,1990
189,tt0373469,15,Kiss Kiss Bang Bang,2005
190,tt0373074,20,Kung Fu Hustle,2004
191,tt0335245,5,The Ladykillers,2004
192,tt0107362,45,Last Action Hero,1993
193,tt0102266,26,The Last Boy Scout,1991
194,tt0844708,6,The Last House on the Left,2009
195,tt0104691,172,The Last of the Mohicans,1992
196,tt0325710,558,The Last Samurai,2003
197,tt0375912,8,Layer Cake,2004
198,tt0386140,13,The Legend of Zorro,2005
199,tt0093409,26,Lethal Weapon,1987
200,tt0097733,33,Lethal Weapon 2,1989
201,tt0104714,17,Lethal Weapon 3,1992
202,tt0122151,30,Lethal Weapon 4,1998
203,tt0110413,33,Leon,1994
204,tt0498380,84,Letters from Iwo Jima,2006
205,tt0363771,86,Chronicles of Narnia:,2005
206,tt0070328,11,Live and Let Die,1973
207,tt0120735,16,"Lock, Stock and Two Smoking Barrels",1998
208,tt0071695,169,Lone Wolf and Cub: White Heaven in Hell,1974
209,tt0116908,68,The Long Kiss Goodnight,1996
210,tt0427470,7,The Lookout,2007
211,tt0120737,118,Lord of the Rings:,2001
212,tt0167261,468,Lord of the Rings:,2002
213,tt0167260,836,Lord of the Rings:,2003
214,tt0343996,41,The Lost City,2005
215,tt0425210,19,Lucky Number,2006
216,tt1050160,25,The Machine Girl,2008
217,tt0079501,9,Mad Max,1979
218,tt0082694,44,Mad Max 2:,1981
219,tt0089530,12,Mad Max,1985
220,tt0054047,55,The Magnificent Seven,1960
221,tt0266465,39,A Man Apart,2003
222,tt0071807,6,The Man with the Golden Gun,1974
223,tt0100114,34,Marked for Death,1990
224,tt0120746,26,The Mask of Zorro,1998
225,tt0133093,39,The Matrix,1999
226,tt0110478,4,Maverick,1994
227,tt0467197,38,Max Payne,2008
228,tt0117011,18,Maximum Risk,1996
229,tt0102422,181,McBain,1991
230,tt0291341,3,Mean Machine,2001
231,tt0209144,4,Memento,2000
232,tt1013753,4,Milk,2008
233,tt0181689,4,Minority Report,2002
234,tt0087727,100,Missing in Action,1984
235,tt0117060,9,Mission: Impossible,1996
236,tt0120755,37,Mission: Impossible II,2000
237,tt0317919,23,Mission: Impossible III,2006
238,tt0884328,46,The Mist,2007
239,tt0113855,11,Mortal Kombat,1995
240,tt0356910,43,Mr. & Mrs. Smith,2005
241,tt0120616,155,The Mummy,1999
242,tt0408306,49,Munich,2005
243,tt0246544,56,The Musketeer,2001
244,tt1179891,24,My Bloody Valentine 3D,2009
245,tt0402399,28,The New World,2005
246,tt0087800,4,Nightmare on Elm Street,1984
247,tt0477348,22,No Country for Old Men,2007
248,tt0086034,46,Octopussy,1983
249,tt0466909,8,The Omen,2006
250,tt0110725,25,On Deadly Ground,1994
251,tt0064757,26,On Her Majesty's Secret Service,1969
252,tt0101020,59,Once a Thief,1991
253,tt0285823,99,Once Upon A Time In Mexico,2003
254,tt0119839,120,Operation Delta Force,1997
255,tt0102614,20,Out For Justice,1991
256,tt0120780,9,Out of Sight,1998
257,tt0075029,120,The Outlaw Josey Wales,1976
258,tt0457430,30,Pan's Labyrinth,2006
259,tt0120786,42,The Patriot,1998
260,tt0187393,123,The Patriot,2000
261,tt0105112,35,Patriot Games,1992
262,tt0120784,18,Payback,1999
263,tt0213149,153,Pearl Harbor,2001
264,tt0293508,3,The Phantom,2004
265,tt0325980,42,Pirates of the Caribbean: Curse of the Black Pearl,2003
266,tt0383574,90,Pirates of the Caribbean: Dead Man's Chest,2006
267,tt0052077,7,Plan 9 from Outer Space,1959
268,tt0095877,106,Platoon Leader,1988
269,tt0107843,35,Point of No Return,1993
270,tt0093773,64,Predator,1987
271,tt0482571,7,The Prestige,2006
272,tt0110891,38,Prince of Jutland,1994
273,tt0110413,33,Leon,1994
274,tt0069134,6,Pulp,1972
275,tt0110912,10,Pulp Fiction,1994
276,tt0098141,96,The Punisher,1989
277,tt0465580,24,Push,2009
278,tt0082971,84,Raiders of the Lost Ark,1981
279,tt0089880,67,Rambo: First,1985
280,tt0095956,127,Rambo III,1988
281,tt0091828,38,Raw Deal,1986
282,tt0087985,118,Red Dawn,1984
283,tt0199753,4,Red Planet,2000
284,tt0098180,104,Red Scorpion,1989
285,tt0253556,293,Reign of Fire,2002
286,tt0120008,38,The Replacement Killers,1998
